CODE,DESCRIPTION, CP (BP), CP (GHC) , PRICE ,STOCK AT HAND, STOCK VALUE ,JAN,FEB,MAR,APR,MAY,JUN,JULY,AUG,SEPT,OCT,NOV,DEC,,,,image_url
, , £ 1.18 , GHC  18.29 , GHC  40.00 ,0, GHC  -   ,,,,,,,,,,,,,0,0,,
,1ST STEP BABY MANICURE SET, £ 0.70 , GHC  10.85 , GHC  20.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,1ST STEP SETSIPPER CUP (DNK),,0.00,13.00,0,0,,,,,,,,,,,,,0,0,,
,1ST SIPPER CUP WITHOUT LID, £ -   , GHC  10.00 , GHC  15.00 ,3, GHC  45.00 ,,,,,,,,,,,,, GHC  -   ,3,,
,1ST STEP SIPPER CUP,, GHC  10.00 , GHC  20.00 ,2, GHC  40.00 ,,,,,,,,,,,,, GHC  -   ,2,,
,500 GSM BATH SHEETS PK3 ASS,2.40,37.20,95.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,5PK FOOD STORAGE BOWL, £ -   , GHC  35.00 , GHC  68.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,60 PIECE HAIRBAND (PRIMARK),1.00,15.50,16.00,0,0,,,,,,,,,,,,,0,0,,
,8 FAVOR BOXES, £ 0.79 , GHC  12.25 , GHC  30.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,A  GEM FASHION PENCIL CASE,0.40,6.20,12.00,0,0,,,,,,,,,,,,,0,0,,
51020,ACCENTI HAIR BANDS FUNKY (30PACK),0.75,11.63,20.00,0,0,,,,,,,,,,,,,0,0,,
,ACTION FIGURES 5PCE,0.20,3.10,6.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
,ACTION FIGURES 5PCE SUPER HEROS, £ 0.35 , GHC  7.35 , GHC  15.00 ,15, GHC  225.00 ,,,,,,,,,,,,, GHC  -   ,15,,
114158,ACTIVITY STICKER BOOK (DINOSAUR),1.00,15.50,35.00,0,0,,,,,,,,,,,,,0,0,,
114161,ACTIVITY STICKER BOOK {PRINCESS},1.00,15.50,35.00,0,0,,,,,,,,,,,,,0,0,,
,ACTIVITY STICKER BOOK JUNGLE, £ 1.15 , GHC  24.00 , GHC  50.00 ,3, GHC  150.00 ,,,,,,,,,,,,, GHC  -   ,3,,
,ACTIVITY STICKER BOOK PRINCESS, £ 1.15 , GHC  24.00 , GHC  50.00 ,4, GHC  200.00 ,,,,,,,,,,,,, GHC  -   ,4, GHC  -   ,
102198,ADIDAS CONTROL & SMOOTH GIFT SET (2PC),4.00,62.00,52.00,0,0,,,,,,,,,,,,,0,0,,
102199,ADIDAS GET READY GIFT SET (2PC),4.00,62.00,52.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,ACTIVITY STICKER BOOK UNICORN, £ 1.20 , GHC  24.00 , GHC  55.00 ,3, GHC  165.00 ,,,,,,,,,,,,,0,3, GHC  -   ,
,ADVENTURE FORCE REMOTE CAR,, GHC  169.00 , GHC  350.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,ADIDAS GET READY GIFT SET (2PC) DNK,, GHC  95.00 , GHC  160.00 ,2, GHC  320.00 ,,,,,,,,,,,,, GHC  -   ,2, GHC  -   ,
,AIR-FILLED BALLOON (FOIL),, GHC  12.00 , GHC  35.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,ALBERT'S TREE,, GHC  25.00 , GHC  45.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,AFTER DARK PERFUME DNK,, GHC  76.00 , GHC  150.00 ,1, GHC  150.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
107622,ALL IN 1 PIECE,1.85,28.68,60.00,0,0,,,,,,,,,,,,,0,0,,
,ALL IN ONE PIECE,2.00,31.00,35.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,ALLURE BODY MIST ,1.00,15.50,20.00,0,0,,,,,,,,,,,,,0,0,,
62863,ALLURE EDT W RAVISHING 100ML,2.00,31.00,55.00,0,,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,ANDERSEN FAIRY TALES,2.00,31.00,38.00,0,,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,ALCOHOL WIPES ANNOITED,, GHC  15.00 , GHC  25.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
100666,ANIMAL JUMPING ROPE,2.00,31.00,35.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,ANIMAL FLASHLIGHT KID CONNECTION, £ 5.00 , GHC  77.50 , GHC  90.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,/imgs/shopItems/img_1.png
,ANKER CARRY FOLDERS A4 PK3, £ 0.63 , GHC  12.60 , GHC  30.00 ,12, GHC  360.00 ,,,,,,,,,,,,,0,12,,
,ANKER HIGHLIGHTER PEN, £ 0.70 , GHC  10.85 , GHC  25.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
87373,ANKER NOTEBOOK (SLIM) & PEN,0.65,10.08,12.00,0,0,,,,,,,,,,,,,0,0,,
,ANKER COLORING PENS, £ 0.63 , GHC  13.50 , GHC  30.00 ,5, GHC  150.00 ,,,,,,,,,,,,, GHC  -   ,5, GHC  -   ,
,APAC RIBBON BABY PINK ,1.65,25.58,25.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
81242,APAC RIBBON DAFFODIL,1.65,25.58,25.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,ANKER FILE A BOX, £ 1.10 , GHC  17.05 , GHC  35.00 ,2, GHC  70.00 ,,,,,,,,,,,,, GHC  -   ,2, GHC  -   ,
82643,ART BOX CRAYONS (12 JUMBO),0.60,9.30,16.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,ANKER PENCIL FOILED X10 UK NEW, £ 0.70 , GHC  10.85 , GHC  20.00 ,1, GHC  20.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
81234,ART BOX CRAYON 36, £ 0.60 , GHC  9.30 , GHC  35.00 ,13, GHC  455.00 ,,,,,,,,,,,,, GHC  -   ,13, GHC  -   ,
54447,ART BOX NUMBER ERASERS,0.60,9.30,12.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,ART BOX ERASER SCENTED 6, £ 0.61 , GHC  13.50 , GHC  35.00 ,10, GHC  350.00 ,,,,,,,,,,,,, GHC  -   ,10,,
35960,ART BOX FUNKY SCISSORS SET (3), £ 0.60 , GHC  9.30 , GHC  12.00 ,7, GHC  84.00 ,,,,,,,,,,,,, GHC  -   ,7, GHC  -   ,
,ART BOX PAINT BRUSHES, £ 0.60 , GHC  9.30 , GHC  35.00 ,3, GHC  105.00 ,,,,,,,,,,,,, GHC  -   ,3, GHC  -   ,
,ART BOX PAINT SET, £ 0.65 , GHC  10.08 , GHC  35.00 ,2, GHC  70.00 ,,,,,,,,,,,,, GHC  -   ,2, GHC  -   ,
100386,ART BOX PENCILS (20 COLOUR),0.60,9.30,15.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,ART BOX PAINT WITH PALLETTE, £ 0.70 , GHC  14.00 , GHC  35.00 ,7, GHC  245.00 ,,,,,,,,,,,,, GHC  -   ,7,,
29614,ART BOX PENCILS NEON RUBBER TIP10,0.60,9.30,16.00,0,0,,,,,,,,,,,,, GHC  -   ,0,,
33748,ART BOX REWARD STARS,0.60,9.30,18.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,ART BOX PENCIL ERASER TOPPED 6, £ 0.70 , GHC  15.00 , GHC  35.00 ,44," GHC  1,540.00 ",,,,,,,,,,,,, GHC  -   ,44, GHC  -   ,
6430,ART BOX SAFETY SCISSORS (2),0.60,9.30,15.00,0,0,,,,,,,,,,,,,0,0,,
50591,ART BOX PENCILS ERASER TOPPED (6), £ 0.60 , GHC  9.30 , GHC  13.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
USA,ARTIC ZONE LUNCH BAG,9.00,109.43,140.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,ART BOX REWARD STICKERS 500, £ 0.63 , GHC  13.50 , GHC  45.00 ,3, GHC  135.00 ,,,,,,,,,,,,, GHC  -   ,3, GHC  -   ,
,ASSORTED GIFT BAGS - LARGE,, GHC  7.00 , GHC  25.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,ASSORTED GIFT BAGS - MEDIUM,, GHC  12.00 , GHC  20.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,ASSORTED GIFT BAGS - SMALL,, GHC  10.00 , GHC  15.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,ASSORTED GIFT BAGS - WINE,, GHC  7.00 , GHC  15.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
USA,ASSORTED GIFT BAGS - XLARGE, £ 1.30 , GHC  20.15 , GHC  35.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,ASSORTED GIFT BAGS - XSMALL,, GHC  4.00 , GHC  10.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,ASSORTED GIFT BAGS - XXLARGE, £ 1.30 , GHC  20.15 , GHC  40.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
100388,AUDI R8 REMOTE CAR,8.00,124.00,140.00,0,0,,,,,,,,,,,,,0,0,,
,ART BOX STICKER STARS, £ 0.63 , GHC  13.50 , GHC  40.00 ,3, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,3,,
,ASANKA BOWLS TADI,, GHC  13.00 , GHC  20.00 ,3, GHC  60.00 ,,,,,,,,,,,,, GHC  -   ,3,,
,AVON BUBBLE BATH,, GHC  40.00 , GHC  60.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,AVENGERS, £ 7.69 , GHC  119.20 , GHC  250.00 ,3, GHC  750.00 ,,,,,,,,,,,,, GHC  -   ,3, GHC  -   ,
,AVENGERS - IRONMAN, £ 3.11 , GHC  48.21 , GHC  150.00 ,1, GHC  150.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
,A-Z MUSICAL TV, £ 3.70 , GHC  57.35 , GHC  60.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0,,
,AWARD RIBBON - BIRTHDAY, £ 1.04 , GHC  16.12 , GHC  30.00 ,27, GHC  810.00 ,,,,,,,,,,,,, GHC  -   ,27, GHC  -   ,
,BABY BIBS,,0.00,48.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
40473,BABY BOO SINGLE BUGGY,5.40,83.70,70.00,0,0,,,,,,,,,,,,,0,0,,
,AXE BODY SPRAY,, GHC  36.00 , GHC  45.00 ,19, GHC  855.00 ,,,,,,,,,,,,, GHC  -   ,19,,
,BABY ANIMAL TRAIN, £ 10.00 , GHC  155.00 , GHC  220.00 ,1, GHC  220.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,BABY DOLL MAKOLA,,0.00,10.00,0,0,,,,,,,,,,,,,0,0,,
,BABY COMBO BUS PLAY SET, £ 4.15 , GHC  64.33 , GHC  120.00 ,1, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,1,,
,BABY COMBO STEERING WHEEL PLAY SET, £ 4.15 , GHC  64.33 , GHC  120.00 ,1, GHC  120.00 ,,,,,,,,,,,,, GHC  -   ,1,,/imgs/shopItems/img_2.png
,BABY DOLL STANDING 16in, £ 10.00 , GHC  155.00 , GHC  250.00 ,2, GHC  500.00 ,,,,,,,,,,,,, GHC  -   ,2, GHC  -   ,
,BABY PACIFIER (single),,0.00,12.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,BABY DRINKING CUP SPILL PROOF 260ML, £ 1.10 , GHC  22.00 , GHC  50.00 ,3, GHC  150.00 ,,,,,,,,,,,,,0,3, GHC  -   ,
107019,BABY PIPKIN 2 HANDY CONTAINERS 450ML,0.60,9.30,13.00,0,0,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,BABY PIPKIN 3 MEALTIME BOWLS, £ 0.70 , GHC  10.85 , GHC  35.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,BABY PIPKIN 6 BABY WEANING SPOONS, £ 0.70 , GHC  10.85 , GHC  25.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,BABY PIPKIN BRUSH AND COMB SET, £ 0.70 , GHC  10.85 , GHC  20.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,BABY PIPKIN LEARNING LINKS SET, £ 0.80 , GHC  12.40 , GHC  35.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
107010,BABY PIPKIN RATTLE TEETHER,0.65,10.08,20.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
107023,BABY POWDER (JOHNSONS),0.85,13.18,25.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
,BABY SIPPER TURTLE (US),,0.00,20.00,0,0,,,,,,,,,,,,,0,0, GHC  -   ,
112939,BABY OIL (JOHNSONS) - SMALL,, GHC  18.00 , GHC  35.00 ,7, GHC  245.00 ,,,,,,,,,,,,, GHC  -   ,7, GHC  -   ,
,BAGS KENYA - BIG, £ -   , GHC  -   , GHC  100.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,BAGS KENYA - SMALL, £ -   , GHC  -   , GHC  70.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
68050,BALLOON WITH ROPE, £ 0.50 , GHC  7.75 , GHC  20.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,BALLOONS PACK MAKOLA,, GHC  30.00 , GHC  45.00 ,0, GHC  -   ,,,,,,,,,,,,, GHC  -   ,0, GHC  -   ,
,BABY PACIFIER (2-in-1), £ 0.60 , GHC  9.30 , GHC  18.00 ,1, GHC  18.00 ,,,,,,,,,,,,, GHC  -   ,1, GHC  -   ,
33748,BABY PIPKIN 2 FEEDING BOWLS, £ 0.70 , GHC  10.85 , GHC  20.00 ,2, GHC  40.00 ,,,,,,,,,,,,, GHC  -   ,2, GHC  -   ,
,BABY PIPKIN BRUSH & COMB SET, £ 0.70 , GHC  14.00 , GHC  25.00 ,9, GHC  225.00 ,,,,,,,,,,,,,0,9,,
,BABY PIPKIN NAIL CLIPPERS & SCISSOR SET, £ 0.70 , GHC  14.00 , GHC  30.00 ,10, GHC  300.00 ,,,,,,,,,,,,,0,10,,
